x,y
-7.25143,20.016254
-3.0964928,18.260902
17.047264,1.0627722
-3.0558927,18.26291
-3.6511474,17.232897
-3.5976374,17.268034
4.266784,34.421112
-3.5857856,17.279291
-3.5956936,17.192652
-3.6360404,17.19336
-0.81491506,8.19371
-3.6313453,17.22425
-3.6374333,17.21677
-3.4999743,18.35841
-2.4182212,18.238644
-0.95485544,18.389502
-1.4046404,7.581687
-1.2879629,8.116076
28.287123,0.7329544
-7.178334,20.139399
-0.86161774,18.44199
9.410107,-1.9664029
28.856953,0.7607999
6.7933044,-1.2263118
6.7478304,-1.2076058
3.715988,33.037376
12.290232,1.4686601
28.911617,0.5223091
3.7501516,32.923195
-2.9279137,18.791191
13.2515955,1.2069397
9.410595,-2.0033634
9.429294,0.21262543
7.598151,-0.8502353
7.793221,-0.8333882
7.6995645,-1.0109111
7.49181,-0.73854786
28.502043,-0.104514554
-1.2669029,18.56407
-0.9322255,18.363375
3.7452707,34.25478
9.16559,-2.2868507
-0.91971207,18.33319
28.40276,-0.21616867
12.135096,1.2656069
-0.72616297,8.11782
17.027637,1.6680057
3.7430198,34.19346
-1.4235381,17.389397
7.3249693,-0.05033486
17.247272,1.9204482
16.89423,1.6951149
16.90547,1.767004
16.909798,1.7648052
16.972433,1.6445777
16.850622,1.7907588
7.7899537,-1.882587
6.639879,-0.9917693
7.841845,-0.144272
21.800304,-7.403639
7.4775815,-1.1195037
17.074951,1.090472
10.632056,0.7057917
10.647531,0.64868087
-0.6996582,8.288756
28.83854,0.5063543
9.457049,-2.040388
6.4910407,-1.2016246
3.8530815,33.987694
3.941583,31.74187
-1.0743212,7.088868
9.548771,0.015561993
-1.65653,16.862137
7.4386206,-0.80156875
-5.354712,23.303734
-1.1648871,18.142607
8.918968,-2.3957217
7.9718375,-1.4770647
-3.2482662,19.625822
28.093004,-0.5508815
21.796715,-7.404578
-3.2632,20.371353
10.671251,0.75990623
7.8130336,-1.8203788
-3.2006073,20.119238
21.041107,-7.609471
-5.2430067,23.780706
11.17328,1.2971915
9.8996935,1.0215613
11.90464,1.2732477
21.017418,-7.6125226
3.6367402,34.21084
13.221754,1.257795
8.762686,-2.1417358
3.900515,31.98064
-5.1786523,23.16724
28.433151,-0.4159565
7.780115,-2.0482776
15.366182,0.8058816
27.68495,-0.0037064035
9.589756,0.36850062
7.2812185,-0.71897584
-3.533812,20.425686
-0.8653243,18.390226
12.148661,-0.10536574
10.506093,1.2767864
7.743446,-2.018088
-3.0847943,20.151918
7.210346,-0.5705703
7.568448,-1.6487784
7.516182,-1.5880442
21.041376,-7.71092
-3.4723878,18.50471
3.7891533,32.606792
10.496851,1.2490914
10.648645,1.280696
10.265946,1.3203049
10.152358,1.2552418
10.338287,1.285217
12.069974,1.3823695
7.7116113,-2.0402396
-1.3095222,17.718784
-3.1044517,20.632051
7.764153,-0.6161923
3.8763666,31.79643
7.71545,-1.9570147
14.624854,0.69750655
-3.1662953,18.268711
-1.4215724,17.369644
8.922946,-2.4037416
