0	kingdom	phylum	class	order	family	genus	species	x	y	species_name
ncbi185453	Metazoa	Chordata	Mammalia		Chrysochloridae	Chrysochloris	Chrysochloris asiatica	20.36708	30.451523	Chrysochloris asiatica
ncbi1858805	Fungi	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Dacryopinax	Dacryopinax primogenitus	12.084669	1.4310691	Dacryopinax primogenitus
ncbi1868482	Metazoa	Chordata	Mammalia	Primates	Tarsiidae	Carlito	Carlito syrichta	20.615301	32.929977	Carlito syrichta
ncbi186990	Metazoa	Chordata	Mammalia	Chiroptera	Hipposideridae	Hipposideros	Hipposideros armiger	21.245077	29.27732	Hipposideros armiger
ncbi187382	Metazoa	Chordata	Aves	Otidiformes	Otididae	Chlamydotis	Chlamydotis macqueenii	44.073082	22.628607	Chlamydotis macqueenii
ncbi188344	Metazoa	Chordata	Aves	Coraciiformes	Leptosomidae	Leptosomus	Leptosomus discolor	43.040646	24.343628	Leptosomus discolor
ncbi188379	Metazoa	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	Egretta garzetta	11.273429	33.626926	Egretta garzetta
ncbi189622		Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia ovata	30.137856	-3.6941657	Babesia ovata
ncbi1904413	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus clintonianus	12.2706375	1.6299818	Suillus clintonianus
ncbi1912936	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus discolor	12.174356	1.5289044	Suillus discolor
ncbi1912939	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus fuscotomentosus	12.18131	1.5330265	Suillus fuscotomentosus
ncbi192010	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium mangiferae	7.4000654	-0.16391236	Fusarium mangiferae
ncbi192404	Metazoa	Chordata	Mammalia	Chiroptera	Phyllostomidae	Sturnira	Sturnira hondurensis	10.938942	33.484337	Sturnira hondurensis
ncbi1937702	Fungi	Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Ogataea	Ogataea haglerorum	13.207333	3.3621368	Ogataea haglerorum
ncbi194338	Metazoa	Chordata	Aves	Strigiformes	Strigidae	Athene	Athene cunicularia	43.83399	23.08731	Athene cunicularia
ncbi194408	Metazoa	Chordata	Amphibia	Gymnophiona	Rhinatrematidae	Rhinatrema	Rhinatrema bivittatum	42.932625	24.460009	Rhinatrema bivittatum
ncbi195615	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus stenolepis	21.455746	29.212666	Hippoglossus stenolepis
ncbi1964551	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis fragariae	7.137084	1.4941227	Botrytis fragariae
ncbi198719	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila innubila	19.418425	32.73001	Drosophila innubila
ncbi198806	Metazoa	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris pugnax	42.65014	24.840933	Calidris pugnax
ncbi200361	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	-6.1670265	5.232011	Aegilops tauschii
ncbi2015173	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Ooceraea	Ooceraea biroi	-10.7817135	21.344027	Ooceraea biroi
ncbi202533	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	Stegodyphus	Stegodyphus dumicola	10.900847	33.50007	Stegodyphus dumicola
ncbi202946	Metazoa	Chordata	Aves	Apterygiformes	Apterygidae	Apteryx	Apteryx mantelli	43.715385	23.297953	Apteryx mantelli
ncbi205130	Metazoa	Chordata	Actinopteri	Synbranchiformes	Mastacembelidae	Mastacembelus	Mastacembelus armatus	17.263931	30.262825	Mastacembelus armatus
ncbi206008	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Panicum	Panicum hallii	-6.315272	5.161862	Panicum hallii
ncbi207650	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus vosnesenskii	-10.90684	21.131565	Bombus vosnesenskii
ncbi207710	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis alba	-5.904594	5.1397634	Prosopis alba
ncbi208452		Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium coatneyi	30.248606	-3.1730258	Plasmodium coatneyi
ncbi209559	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus alliaceus	6.258771	2.9578447	Aspergillus alliaceus
ncbi210225	Viridiplantae	Streptophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Nymphaea	Nymphaea colorata	-6.313841	4.808036	Nymphaea colorata
ncbi210632	Metazoa	Chordata	Actinopteri		Ambassidae	Parambassis	Parambassis ranga	43.96453	23.282146	Parambassis ranga
ncbi211228	Metazoa	Arthropoda	Insecta	Hymenoptera	Cephidae	Cephus	Cephus cinctus	-10.165915	20.385368	Cephus cinctus
ncbi2126181	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena indigotica	11.5671625	1.0555176	Mycena indigotica
ncbi212818	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala mesophila	10.631873	3.0330474	Exophiala mesophila
ncbi214684	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	12.336417	2.93932	Cryptococcus neoformans
ncbi214687	Viridiplantae	Streptophyta	Magnoliopsida	Zingiberales	Musaceae	Musa	Musa acuminata	-6.0868845	4.5721064	Musa acuminata
ncbi215243	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala oligosperma	10.538997	3.0601926	Exophiala oligosperma
ncbi215250	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces	Acaromyces ingoldii	12.2484865	2.6379175	Acaromyces ingoldii
ncbi215358	Metazoa	Chordata	Actinopteri		Sciaenidae	Larimichthys	Larimichthys crocea	43.8737	23.35725	Larimichthys crocea
ncbi217634	Metazoa	Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplophora	Anoplophora glabripennis	13.814986	5.6515646	Anoplophora glabripennis
ncbi218467	Metazoa	Arthropoda	Arachnida	Scorpiones	Buthidae	Centruroides	Centruroides sculpturatus	12.2621355	32.286064	Centruroides sculpturatus
ncbi219594	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Aythya	Aythya fuligula	21.850477	30.952618	Aythya fuligula
ncbi219809	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Pseudomyrmex	Pseudomyrmex gracilis	-10.846376	21.206917	Pseudomyrmex gracilis
ncbi219896	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium	Syzygium oleosum	-6.12203	4.3269434	Syzygium oleosum
ncbi221976	Metazoa	Chordata	Aves	Passeriformes	Passeridae	Pyrgilauda	Pyrgilauda ruficollis	21.94029	31.045452	Pyrgilauda ruficollis
ncbi222816	Metazoa	Arthropoda	Insecta	Hymenoptera	Orussidae	Orussus	Orussus abietinus	-10.990814	20.088766	Orussus abietinus
ncbi222929	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	11.759826	3.186704	Coccidioides posadasii
ncbi223781	Metazoa	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila chrysaetos	21.762215	30.746338	Aquila chrysaetos
ncbi224129	Metazoa	Arthropoda	Insecta	Coleoptera	Buprestidae	Agrilus	Agrilus planipennis	13.828284	5.6417933	Agrilus planipennis
ncbi2249226	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	Juglans microcarpa x Juglans regia	-6.044437	4.620767	Juglans microcarpa x Juglans regia
ncbi225117	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	Pyrus x bretschneideri	-5.693914	4.4124436	Pyrus x bretschneideri
ncbi225164	Metazoa	Mollusca	Gastropoda		Lottiidae	Lottia	Lottia gigantea	-0.44527495	18.326166	Lottia gigantea
ncbi225400	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis davidii	17.093718	30.107836	Myotis davidii
ncbi22663	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Lythraceae	Punica	Punica granatum	-5.9859996	4.5427446	Punica granatum
ncbi227086		Cercozoa	Chlorarachniophyceae			Bigelowiella	Bigelowiella natans	30.406294	-2.710812	Bigelowiella natans
ncbi227321	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	6.332877	2.6946917	Aspergillus nidulans
ncbi229533	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum	7.3702803	-0.08831786	Fusarium graminearum
ncbi230844	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus maniculatus	19.671425	30.063725	Peromyscus maniculatus
ncbi231269	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium coffeatum	7.2936654	-0.04445824	Fusarium coffeatum
ncbi235443	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	12.3075285	2.9688048	Cryptococcus neoformans
ncbi236234	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia corticola	6.557795	1.5695616	Diplodia corticola
ncbi237561	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida albicans	13.291542	3.2668178	Candida albicans
ncbi237631	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis	12.629332	4.5265	Mycosarcoma maydis
ncbi240176	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis cinerea	11.548949	1.1182286	Coprinopsis cinerea
ncbi240206	Metazoa	Chordata	Aves	Pterocliformes	Pteroclidae	Pterocles	Pterocles gutturalis	44.036144	22.623005	Pterocles gutturalis
ncbi241271	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	Cheilinus	Cheilinus undulatus	21.380413	29.097559	Cheilinus undulatus
ncbi242507	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia oryzae	9.11739	1.9849249	Pyricularia oryzae
ncbi244447	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	Cynoglossus	Cynoglossus semilaevis	43.807297	23.363436	Cynoglossus semilaevis
ncbi2448451	Metazoa	Arthropoda	Insecta	Hymenoptera	Halictidae	Nomia	Nomia melanderi	-10.883842	21.221659	Nomia melanderi
ncbi245834	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Neohortaea	Neohortaea acidophila	11.410818	3.088649	Neohortaea acidophila
ncbi246410	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	11.7036	3.2298636	Coccidioides immitis
ncbi246437	Metazoa	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia chinensis	19.222366	30.674107	Tupaia chinensis
ncbi2478750	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis deweyae	7.1102905	1.5181049	Botrytis deweyae
ncbi2489341	Metazoa	Chordata	Aves	Psittaciformes	Psittacidae	Strigops	Strigops habroptila	11.438477	33.88196	Strigops habroptila
ncbi253628	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Verruconis	Verruconis gallopava	11.049172	2.9995987	Verruconis gallopava
ncbi254056	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea monophora	10.272531	3.1010058	Fonsecaea monophora
ncbi2587831	Metazoa	Chordata		Testudines	Emydidae	Terrapene	Terrapene triunguis	43.05316	24.320297	Terrapene triunguis
ncbi259920	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus	43.832764	23.39146	Rhincodon typus
ncbi260615	Metazoa	Chordata		Testudines	Geoemydidae	Mauremys	Mauremys reevesii	21.535753	29.864273	Mauremys reevesii
ncbi2606893	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Dipodascaceae	Magnusiomyces	Magnusiomyces paraingens	13.045423	3.2401688	Magnusiomyces paraingens
ncbi2607531	Metazoa	Mollusca	Cephalopoda	Octopoda	Octopodidae	Octopus	Octopus sinensis	-10.390383	21.01951	Octopus sinensis
ncbi260995	Metazoa	Chordata	Amphibia	Gymnophiona	Dermophiidae	Geotrypetes	Geotrypetes seraphini	17.26156	30.96545	Geotrypetes seraphini
ncbi261658		Evosea	Eumycetozoa	Acytosteliales	Cavenderiaceae	Cavenderia	Cavenderia fasciculata	14.13316	5.4093227	Cavenderia fasciculata
ncbi264951	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Paecilomyces	Paecilomyces variotii	11.47054	3.2057738	Paecilomyces variotii
ncbi2652724	Metazoa	Cnidaria	Anthozoa	Actiniaria	Aiptasiidae	Exaiptasia	Exaiptasia diaphana	-0.21246482	18.021881	Exaiptasia diaphana
ncbi265458	Metazoa	Arthropoda	Insecta	Diptera	Cecidomyiidae	Contarinia	Contarinia nasturtii	10.768742	33.4621	Contarinia nasturtii
ncbi2656787	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pleuroascaceae	Venustampulla	Venustampulla echinocandica	7.0183825	1.5207042	Venustampulla echinocandica
ncbi2691554	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus sp. IW2-2015	11.024346	33.52351	Salvelinus sp. IW2-2015
ncbi2705178	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus vancouverensis	-11.020152	21.058256	Bombus vancouverensis
ncbi2711	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus sinensis	-5.942263	4.6799874	Citrus sinensis
ncbi2715852	Metazoa	Chordata	Mammalia	Primates	Cebidae	Cebus	Cebus imitator	19.731892	31.334787	Cebus imitator
ncbi27291	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces paradoxus	14.70717	5.1236057	Saccharomyces paradoxus
ncbi2732470	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidia	Bacidia gigantensis	11.250181	3.0885966	Bacidia gigantensis
ncbi27334	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium expansum	6.8058453	2.6717284	Penicillium expansum
ncbi27405	Metazoa	Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus japonicus	-10.694307	19.803232	Penaeus japonicus
ncbi27457	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera dorsalis	19.329996	32.56758	Bactrocera dorsalis
ncbi2754530	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Protomyces	Protomyces lactucae-debilis	14.131508	5.290569	Protomyces lactucae-debilis
ncbi27622	Metazoa	Chordata	Mammalia	Chiroptera	Molossidae	Molossus	Molossus molossus	21.356504	29.164742	Molossus molossus
ncbi27675	Metazoa	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus didactylus	20.360565	30.476719	Choloepus didactylus
ncbi27687	Metazoa	Chordata	Cladistia	Polypteriformes	Polypteridae	Erpetoichthys	Erpetoichthys calabaricus	43.982132	23.2243	Erpetoichthys calabaricus
ncbi2769		Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Chondrus	Chondrus crispus	43.900257	22.50697	Chondrus crispus
ncbi27706	Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides	17.162958	30.84282	Micropterus salmoides
ncbi278856	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danaus	Danaus plexippus	17.1596	30.619915	Danaus plexippus
ncbi2795564	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola hyperantus	17.060156	30.714281	Maniola hyperantus
ncbi279965	Metazoa	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Antrostomus	Antrostomus carolinensis	43.84386	23.431131	Antrostomus carolinensis
ncbi280036	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	Sporisorium graminicola	12.602097	4.5102634	Sporisorium graminicola
ncbi280463		Haptophyta		Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi	13.5737505	3.6588764	Emiliania huxleyi
ncbi280699		Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon	Cyanidioschyzon merolae	30.608463	-2.437831	Cyanidioschyzon merolae
ncbi283035	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Sander	Sander lucioperca	17.109743	30.589952	Sander lucioperca
ncbi283643	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	12.3644285	2.931516	Cryptococcus neoformans
ncbi28377	Metazoa	Chordata	Lepidosauria	Squamata	Dactyloidae	Anolis	Anolis carolinensis	42.995117	24.392937	Anolis carolinensis
ncbi284591	Fungi	Ascomycota	Dipodascomycetes	Dipodascales		Yarrowia	Yarrowia lipolytica	13.202349	3.2658367	Yarrowia lipolytica
ncbi284592	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Debaryomyces	Debaryomyces hansenii	13.42557	3.3131742	Debaryomyces hansenii
ncbi284811	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium gossypii	14.60622	5.1263914	Eremothecium gossypii
ncbi284813	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi	30.599983	-2.446269	Encephalitozoon cuniculi
ncbi28526	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum pennellii	-6.0053453	5.101309	Solanum pennellii
ncbi28532	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Cleomaceae	Tarenaya	Tarenaya hassleriana	-5.1286936	4.6300635	Tarenaya hassleriana
ncbi28584	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila suzukii	19.613722	32.014084	Drosophila suzukii
ncbi28588	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Zeugodacus	Zeugodacus cucurbitae	21.07154	29.364185	Zeugodacus cucurbitae
ncbi28610	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis	Rhagoletis pomonella	17.491478	30.631992	Rhagoletis pomonella
ncbi28612	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis	Rhagoletis zephyria	17.624882	30.25596	Rhagoletis zephyria
ncbi286419	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus	17.158379	30.576468	Canis lupus
ncbi286706	Metazoa	Arthropoda	Insecta	Hemiptera	Pentatomidae	Halyomorpha	Halyomorpha halys	10.832222	33.536995	Halyomorpha halys
ncbi28737	Metazoa	Chordata	Mammalia	Macroscelidea	Macroscelididae	Elephantulus	Elephantulus edwardii	17.134659	30.885193	Elephantulus edwardii
ncbi28743	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cyprinodon	Cyprinodon variegatus	43.92928	23.393997	Cyprinodon variegatus
ncbi28829	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Soleidae	Solea	Solea senegalensis	17.115398	30.857737	Solea senegalensis
ncbi28985	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces lactis	15.548319	5.472595	Kluyveromyces lactis
ncbi29029	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila eugracilis	19.314558	32.7849	Drosophila eugracilis
ncbi29030	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila takahashii	19.36883	32.737133	Drosophila takahashii
ncbi29053	Metazoa	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Copidosoma	Copidosoma floridanum	-10.564731	19.597586	Copidosoma floridanum
ncbi29058	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Helicoverpa	Helicoverpa armigera	17.075377	30.355522	Helicoverpa armigera
ncbi29073	Metazoa	Chordata	Mammalia	Carnivora	Ursidae	Ursus	Ursus maritimus	17.550875	30.507862	Ursus maritimus
ncbi29078	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Eptesicus	Eptesicus fuscus	21.396654	29.132347	Eptesicus fuscus
ncbi29088	Metazoa	Chordata	Mammalia	Carnivora	Phocidae	Neomonachus	Neomonachus schauinslandi	21.477947	29.224463	Neomonachus schauinslandi
ncbi291302	Metazoa	Chordata	Mammalia	Chiroptera	Miniopteridae	Miniopterus	Miniopterus natalensis	21.141476	29.341194	Miniopterus natalensis
ncbi29139	Metazoa	Chordata	Mammalia	Diprotodontia	Vombatidae	Vombatus	Vombatus ursinus	19.536098	30.792595	Vombatus ursinus
ncbi29144	Metazoa	Chordata	Actinopteri	Gonorynchiformes	Chanidae	Chanos	Chanos chanos	43.92141	23.369213	Chanos chanos
ncbi29159	Metazoa	Mollusca	Bivalvia	Ostreida	Ostreidae	Magallana	Magallana gigas	-0.45151815	18.26605	Magallana gigas
ncbi293939	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus lentulus	6.228145	2.7600098	Aspergillus lentulus
ncbi294128	Metazoa	Arthropoda	Malacostraca	Amphipoda	Hyalellidae	Hyalella	Hyalella azteca	-10.666947	19.70162	Hyalella azteca
ncbi294381		Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica	30.225517	-1.3770882	Entamoeba histolytica
ncbi294746	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii	13.525962	3.357786	Meyerozyma guilliermondii
ncbi294747	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida tropicalis	15.748002	5.2678776	Candida tropicalis
ncbi296543		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira pseudonana	15.340392	5.152732	Thalassiosira pseudonana
ncbi296587	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda	30.052874	-3.6877759	Micromonas commoda
ncbi296741	Metazoa	Chordata	Aves	Passeriformes	Pipridae	Chiroxiphia	Chiroxiphia lanceolata	21.696854	30.32405	Chiroxiphia lanceolata
ncbi29729	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium arboreum	-6.1899333	4.1621647	Gossypium arboreum
ncbi29730	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium raimondii	-6.3320932	4.2087736	Gossypium raimondii
ncbi29760	Viridiplantae	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera	-5.739877	4.5375094	Vitis vinifera
ncbi29780	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	Mangifera	Mangifera indica	-5.9729066	4.792803	Mangifera indica
ncbi299123	Metazoa	Chordata	Aves	Passeriformes	Estrildidae	Lonchura	Lonchura striata	42.708748	24.780327	Lonchura striata
ncbi299321	Metazoa	Chordata	Actinopteri	Clupeiformes	Denticipitidae	Denticeps	Denticeps clupeoides	43.995155	23.182232	Denticeps clupeoides
ncbi300111	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Temnothorax	Temnothorax curvispinosus	-10.799744	21.253939	Temnothorax curvispinosus
ncbi30019	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila busckii	9.842145	36.370163	Drosophila busckii
ncbi30023	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila elegans	19.599903	32.228973	Drosophila elegans
ncbi30025	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila ficusphila	19.713675	31.310999	Drosophila ficusphila
ncbi30033	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila kikkawai	19.397758	32.70874	Drosophila kikkawai
ncbi30066	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles merus	20.640947	32.982433	Anopheles merus
ncbi30069	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles stephensi	9.861368	36.350914	Anopheles stephensi
ncbi301207	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	Macroventuria anomochaeta	6.2209563	1.2201084	Macroventuria anomochaeta
ncbi30195	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	-11.018717	21.005886	Bombus terrestris
ncbi30207	Metazoa	Arthropoda	Insecta	Hymenoptera	Vespidae	Polistes	Polistes fuscatus	-10.980712	20.041103	Polistes fuscatus
ncbi30213	Metazoa	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespula	Vespula pensylvanica	-11.002838	20.072113	Vespula pensylvanica
ncbi30331	Metazoa	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo gargarizans	20.683004	32.864468	Bufo gargarizans
ncbi303518	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Pundamilia	Pundamilia nyererei	9.78547	36.429523	Pundamilia nyererei
ncbi30410	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Lagopus	Lagopus leucura	21.687197	30.305016	Lagopus leucura
ncbi30419	Metazoa	Chordata	Aves	Opisthocomiformes	Opisthocomidae	Opisthocomus	Opisthocomus hoazin	44.114357	23.13458	Opisthocomus hoazin
ncbi30455	Metazoa	Chordata	Aves	Procellariiformes	Procellariidae	Fulmarus	Fulmarus glacialis	44.08878	23.19561	Fulmarus glacialis
ncbi30464	Metazoa	Chordata	Aves	Tinamiformes	Tinamidae	Nothoprocta	Nothoprocta perdicaria	43.323837	23.997238	Nothoprocta perdicaria
ncbi30522	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos indicus x Bos taurus	21.41702	29.242413	Bos indicus x Bos taurus
ncbi30538	Metazoa	Chordata	Mammalia	Artiodactyla	Camelidae	Vicugna	Vicugna pacos	19.433418	30.690508	Vicugna pacos
ncbi3055	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii	11.10315	33.192913	Chlamydomonas reinhardtii
ncbi30608	Metazoa	Chordata	Mammalia	Primates	Cheirogaleidae	Microcebus	Microcebus murinus	19.690186	30.978409	Microcebus murinus
ncbi30611	Metazoa	Chordata	Mammalia	Primates	Galagidae	Otolemur	Otolemur garnettii	21.435123	29.13082	Otolemur garnettii
ncbi3068	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri	14.455214	4.7521334	Volvox carteri
