0	kingdom	phylum	class	order	family	genus	species	x	y	species_name
ncbi139825	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Sparassidaceae	Sparassis	Sparassis crispa	12.071033	1.5963564	Sparassis crispa
ncbi1408163	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia emersonii	9.747171	2.6783783	Rasamsonia emersonii
ncbi1408657	Fungi	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis jirovecii	15.538375	5.3017263	Pneumocystis jirovecii
ncbi1408658	Fungi	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis carinii	15.562303	5.25081	Pneumocystis carinii
ncbi1410327		Evosea	Eumycetozoa	Acytosteliales	Acytosteliaceae	Acytostelium	Acytostelium subglobosum	14.218972	5.3669186	Acytostelium subglobosum
ncbi1415580	Metazoa	Chordata	Amphibia	Gymnophiona	Siphonopidae	Microcaecilia	Microcaecilia unicolor	43.023094	24.350794	Microcaecilia unicolor
ncbi143291	Metazoa	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	Pteropus vampyrus	21.28654	29.580385	Pteropus vampyrus
ncbi143292	Metazoa	Chordata	Mammalia	Pholidota	Manidae	Manis	Manis pentadactyla	21.480654	29.265	Manis pentadactyla
ncbi143302	Metazoa	Chordata	Mammalia	Eulipotyphla	Talpidae	Condylura	Condylura cristata	18.24415	30.481451	Condylura cristata
ncbi1437191	Metazoa	Arthropoda	Insecta	Hymenoptera	Megachilidae	Osmia	Osmia bicornis	-10.819092	21.32198	Osmia bicornis
ncbi143948	Metazoa	Arthropoda	Insecta	Hemiptera	Aphididae	Diuraphis	Diuraphis noxia	-10.689265	20.085815	Diuraphis noxia
ncbi143950	Metazoa	Arthropoda	Insecta	Hemiptera	Aphididae	Sipha	Sipha flava	-10.892829	20.770578	Sipha flava
ncbi143995	Metazoa	Arthropoda	Insecta	Hymenoptera	Megachilidae	Megachile	Megachile rotundata	-10.8795595	21.255178	Megachile rotundata
ncbi144034	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Pogonomyrmex	Pogonomyrmex barbatus	-11.000981	21.02428	Pogonomyrmex barbatus
ncbi1441469	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces atroroseus	7.67346	2.616138	Talaromyces atroroseus
ncbi144197	Metazoa	Chordata	Actinopteri		Pomacentridae	Stegastes	Stegastes partitus	43.91811	23.183683	Stegastes partitus
ncbi1442368	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea pedrosoi	10.2885685	3.1595585	Fonsecaea pedrosoi
ncbi1442369	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella mackenziei	10.230759	3.027666	Rhinocladiella mackenziei
ncbi1442370	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora bantiana	10.307406	3.108245	Cladophialophora bantiana
ncbi1442371	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea multimorphosa	10.2034235	3.0564156	Fonsecaea multimorphosa
ncbi1448310	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus neoniger	7.5158715	2.6992848	Aspergillus neoniger
ncbi1448311	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus vadensis	7.47937	2.7393713	Aspergillus vadensis
ncbi1448312	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus japonicus	7.5911317	2.5002956	Aspergillus japonicus
ncbi1448313	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus piperis	7.548488	2.7006345	Aspergillus piperis
ncbi1448314	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus eucalypticola	7.5441446	2.6926658	Aspergillus eucalypticola
ncbi1448315	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus uvarum	7.640122	2.4402428	Aspergillus uvarum
ncbi1448316	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ibericus	7.5292697	2.7055511	Aspergillus ibericus
ncbi1448317	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus costaricensis	7.551061	2.651023	Aspergillus costaricensis
ncbi1448319	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fijiensis	7.6177745	2.5294816	Aspergillus fijiensis
ncbi1448321	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus heteromorphus	7.590022	2.6266127	Aspergillus heteromorphus
ncbi1448322	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aculeatinus	7.640414	2.505118	Aspergillus aculeatinus
ncbi1450172	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria	Aaosphaeria arxii	6.4692044	1.3261602	Aaosphaeria arxii
ncbi1450533	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger	7.4321055	2.806895	Aspergillus niger
ncbi1450534	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus brunneoviolaceus	7.6369367	2.4942691	Aspergillus brunneoviolaceus
ncbi1450535	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotioniger	7.639804	2.66732	Aspergillus sclerotioniger
ncbi1450536	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Guyanagaster	Guyanagaster necrorhizus	11.575127	1.0639101	Guyanagaster necrorhizus
ncbi1450537	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus homomorphus	7.5704	2.464551	Aspergillus homomorphus
ncbi1450539	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus saccharolyticus	7.7113237	2.4583514	Aspergillus saccharolyticus
ncbi145388	Viridiplantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium	Monoraphidium neglectum	-0.4948307	18.272919	Monoraphidium neglectum
ncbi1460663	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria sporulosa	6.321561	1.2444614	Paraphaeosphaeria sporulosa
ncbi1463999	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis sinoallii	7.1530123	1.4996198	Botrytis sinoallii
ncbi146911	Metazoa	Chordata	Lepidosauria	Squamata	Gekkonidae	Gekko	Gekko japonicus	43.368397	23.94506	Gekko japonicus
ncbi1477025	Metazoa	Arthropoda	Insecta	Lepidoptera	Cosmopterigidae	Hyposmocoma	Hyposmocoma kahamanoa	17.476938	30.49427	Hyposmocoma kahamanoa
ncbi148305	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia grisea	9.1518	2.0022655	Pyricularia grisea
ncbi1485682	Fungi	Microsporidia				Mitosporidium	Mitosporidium daphniae	30.613266	-2.4346726	Mitosporidium daphniae
ncbi148594	Metazoa	Chordata	Aves	Falconiformes	Falconidae	Falco	Falco naumanni	21.698046	30.328875	Falco naumanni
ncbi1486046	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila subpulchrella	19.406311	32.69822	Drosophila subpulchrella
ncbi149040	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Mollisia	Mollisia scopiformis	7.1733665	1.5270418	Mollisia scopiformis
ncbi150288	Metazoa	Chordata	Actinopteri	Gobiiformes	Gobiidae	Boleophthalmus	Boleophthalmus pectinirostris	44.079697	23.214184	Boleophthalmus pectinirostris
ncbi1506151	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus pseudonomiae	6.137242	3.0565343	Aspergillus pseudonomiae
ncbi1509407	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nomiae	6.117751	3.0722404	Aspergillus nomiae
ncbi1517512	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus pseudoviridinutans	6.249045	2.7398438	Aspergillus pseudoviridinutans
ncbi151771	Metazoa	Cnidaria	Anthozoa	Malacalcyonacea	Nephtheidae	Dendronephthya	Dendronephthya gigantea	19.467802	30.494312	Dendronephthya gigantea
ncbi1518534	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles coluzzii	20.638027	32.962845	Anopheles coluzzii
ncbi1522189	Fungi	Basidiomycota	Exobasidiomycetes	Ceraceosorales	Ceraceosoraceae	Ceraceosorus	Ceraceosorus guamensis	12.598361	2.9349694	Ceraceosorus guamensis
ncbi1529436	Metazoa	Echinodermata	Crinoidea	Comatulida	Comatulidae	Anneissia	Anneissia japonica	-10.090941	19.704361	Anneissia japonica
ncbi15368	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Brachypodium	Brachypodium distachyon	-6.2071915	5.2683554	Brachypodium distachyon
ncbi1537102		Apicomplexa	Aconoidasida	Piroplasmida	Theileriidae	Theileria	Theileria equi	30.112827	-3.7008617	Theileria equi
ncbi156304	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Ceratina	Ceratina calcarata	10.741342	33.451805	Ceratina calcarata
ncbi156563	Metazoa	Chordata	Aves	Passeriformes	Paridae	Cyanistes	Cyanistes caeruleus	43.06548	24.305016	Cyanistes caeruleus
ncbi156630	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria arborescens	6.350838	1.2849011	Alternaria arborescens
