0	kingdom	phylum	class	order	family	genus	species	subclass	superkingdom	x	y	species_name
ncbi464988			Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Hemiselmis	Hemiselmis andersenii		Eukaryota	-2.7159011	1.3191345	Hemiselmis andersenii
ncbi46514	Metazoa	Echinodermata	Asteroidea	Valvatida	Asterinidae	Patiria	Patiria miniata		Eukaryota	2.2589128	5.68603	Patiria miniata
ncbi46731	Metazoa	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	Pocillopora damicornis	Hexacorallia	Eukaryota	4.3762255	9.008942	Pocillopora damicornis
ncbi4686	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Asparagaceae	Asparagus	Asparagus officinalis	Petrosaviidae	Eukaryota	15.545172	11.340091	Asparagus officinalis
ncbi470096	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Pseudovirgaria	Pseudovirgaria hyperparasitica		Eukaryota	6.492984	-4.1159763	Pseudovirgaria hyperparasitica
ncbi471704	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Trachymyrmex	Trachymyrmex cornetzi	Pterygota	Eukaryota	1.323512	5.707271	Trachymyrmex cornetzi
ncbi47314	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila novamexicana	Pterygota	Eukaryota	-0.12806027	15.567824	Drosophila novamexicana
ncbi473952	Metazoa	Arthropoda	Insecta	Hymenoptera	Megachilidae	Osmia	Osmia lignaria	Pterygota	Eukaryota	0.95270264	6.1998367	Osmia lignaria
ncbi4781		Oomycota		Peronosporales	Peronosporaceae	Plasmopara	Plasmopara halstedii		Eukaryota	1.0240856	1.9139946	Plasmopara halstedii
ncbi47969	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Oreochromis	Oreochromis aureus	Neopterygii	Eukaryota	-2.3133104	16.22792	Oreochromis aureus
ncbi481459	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	Neopterygii	Eukaryota	1.3445736	9.331566	Gasterosteus aculeatus
ncbi482537	Metazoa	Chordata	Mammalia	Dermoptera	Cynocephalidae	Galeopterus	Galeopterus variegatus		Eukaryota	-2.2363937	16.272831	Galeopterus variegatus
ncbi48254	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora globosa		Eukaryota	0.8958949	0.4144383	Torulaspora globosa
ncbi483514	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces octosporus		Eukaryota	1.2769114	0.33329192	Schizosaccharomyces octosporus
ncbi484906		Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia bovis		Eukaryota	-3.1691191	2.5577497	Babesia bovis
ncbi48498	Metazoa	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	Orbicella faveolata	Hexacorallia	Eukaryota	0.1317932	4.9712467	Orbicella faveolata
ncbi48563	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus bovinus	Agaricomycetidae	Eukaryota	2.913032	-3.5483198	Suillus bovinus
ncbi48578	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus paluster	Agaricomycetidae	Eukaryota	2.86515	-3.5446136	Suillus paluster
ncbi48586	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus subalutaceus	Agaricomycetidae	Eukaryota	2.8506188	-3.5211556	Suillus subalutaceus
ncbi48587	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus subaureus	Agaricomycetidae	Eukaryota	2.8739815	-3.5397663	Suillus subaureus
ncbi486041	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor	Agaricomycetidae	Eukaryota	2.7995093	-3.4825168	Laccaria bicolor
